ticker,start_time,mcap,24hVol_20260128,history_days
ANIMEUSDT,2025-01-23,,3436350.842591,370.0
GUSDT,2024-08-15,,3425206.799364,531.0
LUNA2USDT,2022-09-10,,3385080.18063,1236.0
YALAUSDT,2025-08-07,,3373050.2294,174.0
HUMAUSDT,2025-05-26,,3367972.026314,247.0
ZORAUSDT,2025-07-25,,3353192.00787,187.0
POLYXUSDT,2023-10-25,,3307493.03699,826.0
PARTIUSDT,2025-03-25,,3295212.03886,309.0
AUSDT,2025-05-28,,3276341.2914,245.0
SUPERUSDT,2023-11-26,,3270368.9912,794.0
CYBERUSDT,2023-08-21,,3264220.13141,891.0
HEMIUSDT,2025-08-29,,3249708.831146,152.0
GTCUSDT,2021-06-11,,3247197.95,1692.0
DOODUSDT,2025-05-09,,3245625.8957855,264.0
GUAUSDT,2025-12-21,,3231217.7183,38.0
JELLYJELLYUSDT,2025-03-26,,3214466.66348,308.0
MAGMAUSDT,2025-12-31,,3135561.14354,28.0
BRETTUSDT,2024-08-20,,3133399.61117,526.0
FORMUSDT,2025-03-19,,3119776.87876,315.0
BLURUSDT,2023-04-28,,3088088.50154,1006.0
ALTUSDT,2024-01-25,,3086306.32083,734.0
TWTUSDT,2023-11-03,,3058354.1452,817.0
KERNELUSDT,2025-04-14,,3050569.23468,289.0
OGUSDT,2025-05-12,,3038217.0981,261.0
AGLDUSDT,2023-07-29,,3037295.4352,914.0
TAIKOUSDT,2025-06-11,,2997999.9124,231.0
EULUSDT,2025-10-13,,2958858.3335,107.0
TAKEUSDT,2025-09-03,,2948510.12941,147.0
YFIUSDT,2020-08-31,,2940772.4,1976.0
B2USDT,2025-05-06,,2916665.9127,267.0
BASUSDT,2025-08-26,,2881464.334154,155.0
DEEPUSDT,2025-04-22,,2826600.56028,281.0
WALUSDT,2025-03-27,,2825248.1044,307.0
ZRXUSDT,2020-06-24,,2807376.8172,2044.0
IOSTUSDT,2020-02-21,,2795650.837436,2168.0
SWARMSUSDT,2025-01-07,,2789459.7239,386.0
STBLUSDT,2025-09-17,,2767248.24834,133.0
SAPIENUSDT,2025-08-20,,2741759.75541,161.0
VELVETUSDT,2025-07-15,,2726477.95696,197.0
ANKRUSDT,2021-01-26,,2710626.971872,1828.0
SAGAUSDT,2024-04-09,,2704800.235542,659.0
IRYSUSDT,2025-11-26,,2685281.602992,63.0
MAGICUSDT,2023-01-25,,2677797.50195,1099.0
FUNUSDT,2025-03-31,,2674672.242258,303.0
YBUSDT,2025-10-10,,2629359.1926,110.0
VANAUSDT,2024-12-16,,2619819.87424,408.0
IDUSDT,2023-03-23,,2608289.03053,1042.0
MEWUSDT,2024-06-17,,2601504.38135,590.0
MUBARAKUSDT,2025-03-17,,2594223.73506,317.0
XAIUSDT,2024-01-09,,2583991.11997,750.0
EVAAUSDT,2025-10-03,,2575566.37069,117.0
XPINUSDT,2025-09-12,,2568801.865919,138.0
RSRUSDT,2020-10-19,,2532048.284869,1927.0
IRUSDT,2025-12-21,,2516545.62323,38.0
EDUUSDT,2023-04-30,,2506962.6036,1004.0
KAVAUSDT,2020-07-28,,2471336.0287,2010.0
API3USDT,2022-02-22,,2470846.9414,1436.0
ORDERUSDT,2025-09-26,,2466019.93962,124.0
BABYUSDT,2025-04-05,,2431784.76369,298.0
SOONUSDT,2025-05-23,,2421068.1111,250.0
AGTUSDT,2025-05-20,,2414888.337919,253.0
ONEUSDT,2021-03-18,,2406230.53904,1777.0
BLUAIUSDT,2025-10-21,,2401668.529564,99.0
RVVUSDT,2025-10-18,,2388894.68935,102.0
GOATUSDT,2024-10-24,,2381943.5182,461.0
FIDAUSDT,2024-09-19,,2380488.67146,496.0
BDXNUSDT,2025-06-03,,2357627.806,239.0
DODOXUSDT,2023-08-08,,2316123.955038,904.0
ZILUSDT,2020-06-18,,2286789.19616,2050.0
DEXEUSDT,2024-12-24,,2249716.63029,400.0
PROVEUSDT,2025-08-05,,2224417.30821,176.0
COTIUSDT,2021-03-10,,2220721.91899,1785.0
BIGTIMEUSDT,2023-10-12,,2207874.87922,839.0
HFTUSDT,2023-04-06,,2179392.32402,1028.0
ALCHUSDT,2025-01-07,,2124896.39473,386.0
MUSDT,2025-07-07,,2090645.4713,205.0
QTUMUSDT,2020-02-20,,2074431.027,2169.0
BOBUSDT,2025-11-21,,2053254.530882,68.0
BANUSDT,2024-11-18,,2037910.86475,436.0
LRCUSDT,2020-10-19,,2033560.02398,1927.0
DOGSUSDT,2024-08-26,,2032919.8158498,520.0
SOPHUSDT,2025-05-28,,2030129.012621,245.0
ZEREBROUSDT,2025-01-02,,2007544.97432,391.0
NFPUSDT,2023-12-27,,2000767.573797,763.0
WOOUSDT,2022-04-08,,1976306.69777,1391.0
HEIUSDT,2025-02-13,,1971449.03582,349.0
CHRUSDT,2021-03-12,,1925145.1479,1783.0
ILVUSDT,2023-11-10,,1923346.1281,810.0
AEVOUSDT,2024-03-13,,1917687.566541,686.0
SKLUSDT,2020-12-08,,1905103.99452,1877.0
FUSDT,2025-06-18,,1874846.32559,224.0
XANUSDT,2025-09-29,,1869584.68086,121.0
COOKIEUSDT,2025-01-07,,1865203.29907,386.0
STORJUSDT,2020-09-16,,1863293.5051,1960.0
TLMUSDT,2023-03-30,,1845494.534265,1035.0
RECALLUSDT,2025-10-15,,1830197.0962,105.0
BTCDOMUSDT,2021-06-21,,1822542.6,1682.0
MITOUSDT,2025-08-28,,1815506.91493,153.0
SCRUSDT,2024-10-22,,1769192.91297,463.0
LAUSDT,2025-06-05,,1768289.19159,237.0
DYMUSDT,2024-02-07,,1764928.754648,721.0
